iter	Logloss
0	0.6831795676
1	0.6751797733
2	0.6684406226
3	0.6630480518
4	0.6583794547
5	0.654620209
6	0.6516004275
7	0.6489807666
8	0.6467575867
9	0.6447904245
10	0.6434202277
11	0.6420961244
12	0.6411269404
13	0.6402227488
14	0.6394021486
15	0.6386983789
16	0.6381352992
17	0.6376048873
18	0.6371512286
19	0.6368462913
20	0.6365129977
21	0.6362301279
22	0.6360102928
23	0.6357832123
24	0.635594463
25	0.6354252084
26	0.6352837285
27	0.6351635264
28	0.6350683585
29	0.6349716263
30	0.6349078746
31	0.634838904
32	0.6347783098
33	0.6347162488
34	0.6346402286
35	0.6345848825
36	0.6345109986
37	0.634461951
38	0.6344062469
39	0.6343890123
40	0.6343279871
41	0.6342841012
42	0.6342446591
43	0.634196691
44	0.6341556922
45	0.6341076111
46	0.6340746981
47	0.6340318186
48	0.6340011063
49	0.6339710776
50	0.6339418338
51	0.6339156472
52	0.6338791558
53	0.6338330773
54	0.6338027737
55	0.6337763965
56	0.6337478362
57	0.6337288982
58	0.6337112602
59	0.633688045
60	0.6336698996
61	0.6336373591
62	0.6336113123
63	0.6335878294
64	0.6335685886
65	0.6335502101
66	0.6335361579
67	0.6335198304
68	0.6334971313
69	0.633480359
70	0.6334696696
71	0.6334558319
72	0.6334429026
73	0.6334137794
74	0.6333862431
75	0.6333709882
76	0.6333559233
77	0.6333281645
78	0.6333103456
79	0.6332928453
80	0.6332768796
81	0.6332685688
82	0.6332546364
83	0.6332377031
84	0.6332252068
85	0.6332127407
86	0.6331809965
87	0.6331590126
88	0.6331414677
89	0.6331221107
90	0.6331099656
91	0.6331010996
92	0.633073397
93	0.6330526835
94	0.6330366092
95	0.6330261101
96	0.6330111848
97	0.632999063
98	0.6329832337
99	0.6329628925
100	0.632951034
101	0.6329317371
102	0.6329152687
103	0.6329057758
104	0.6328898227
105	0.6328690669
106	0.6328536745
107	0.6328333917
108	0.6328257463
109	0.6328143702
110	0.6328040992
111	0.6327988571
112	0.6327787022
113	0.6327564004
114	0.6327504838
115	0.6327403997
116	0.6327326767
117	0.6327101215
118	0.6327032955
119	0.632689819
120	0.6326790019
121	0.6326667853
122	0.6326519576
123	0.6326407062
124	0.6326289897
125	0.6326170688
126	0.6326035042
127	0.6325883234
128	0.6325719737
129	0.6325507442
130	0.6325352731
131	0.6325214503
132	0.6324943708
133	0.6324779476
134	0.6324541629
135	0.6324237589
136	0.6324041901
137	0.6323843746
138	0.6323575332
139	0.6323440317
140	0.6323298097
141	0.6323083227
142	0.6322924321
143	0.6322697861
144	0.6322603404
145	0.6322387967
146	0.6322178487
147	0.6321956387
148	0.6321691515
149	0.6321532897
150	0.6321334413
151	0.6321162752
152	0.6321003322
153	0.6320757778
154	0.6320464676
155	0.6320152437
156	0.6319997359
157	0.6319855379
158	0.6319637599
159	0.6319398805
160	0.6319146833
161	0.6318906121
162	0.6318806152
163	0.6318646708
164	0.6318483532
165	0.6318331092
166	0.6318089784
167	0.6318007667
168	0.6317720592
169	0.6317527284
170	0.6317333085
171	0.6317219183
172	0.6317011821
173	0.6316743791
174	0.6316494183
175	0.6316322855
176	0.6316027465
177	0.6315883176
178	0.6315670055
179	0.631552093
180	0.6315361067
181	0.6315085051
182	0.6314863982
183	0.6314611777
184	0.631439197
185	0.6314155465
186	0.6313911063
187	0.6313776258
188	0.6313610974
189	0.6313477819
190	0.6313301717
191	0.6313031807
192	0.6312859598
193	0.6312699051
194	0.6312512134
195	0.631238732
196	0.6312243248
197	0.631209367
198	0.6311890634
199	0.6311655143
200	0.6311525568
201	0.6311313346
202	0.6311092816
203	0.6310938123
204	0.6310811759
205	0.6310672762
206	0.6310445543
207	0.6310218259
208	0.6310047792
209	0.6309917546
210	0.6309783882
211	0.630962631
212	0.6309458886
213	0.6309242362
214	0.6309055166
215	0.630884495
216	0.6308620148
217	0.630845606
218	0.6308228632
219	0.6307991667
220	0.6307947242
221	0.6307648915
222	0.6307492494
223	0.6307228576
224	0.6307023987
225	0.6306908237
226	0.6306708877
227	0.6306515791
228	0.6306347111
229	0.630620746
230	0.6306035229
231	0.6305871377
232	0.6305669815
233	0.6305531225
234	0.6305438616
235	0.6305295254
236	0.6305131665
237	0.6304997548
238	0.630483181
239	0.630462848
240	0.6304404297
241	0.6304197742
242	0.6304020869
243	0.6303911158
244	0.6303737328
245	0.6303589487
246	0.6303472016
247	0.6303226546
248	0.630298996
249	0.6302850236
250	0.6302728226
251	0.6302538931
252	0.6302330954
253	0.6302109527
254	0.6301994253
255	0.6301762773
256	0.6301585647
257	0.6301381215
258	0.6301231291
259	0.6301130382
260	0.6300819778
261	0.6300656978
262	0.6300578639
263	0.6300327369
264	0.6300104637
265	0.6299991691
266	0.6299843992
267	0.629964636
268	0.6299510598
269	0.629939286
270	0.6299291724
271	0.6299064157
272	0.6298922492
273	0.6298787812
274	0.6298559957
275	0.6298426573
276	0.6298071539
277	0.6297919176
278	0.6297736213
279	0.6297571993
280	0.6297401341
281	0.62971962
282	0.6297036173
283	0.6296836963
284	0.6296681843
285	0.6296499792
286	0.6296344947
287	0.6296240244
288	0.6296130657
289	0.6295913894
290	0.6295775502
291	0.6295638887
292	0.6295474789
293	0.6295381049
294	0.6295237496
295	0.6295099395
296	0.6294924882
297	0.629468131
298	0.6294483709
299	0.6294346273
300	0.6294158431
301	0.6293988574
302	0.6293862621
303	0.6293648464
304	0.6293428581
305	0.6293315659
306	0.6293158041
307	0.6293032549
308	0.6292912398
309	0.6292724987
310	0.6292599497
311	0.6292477604
312	0.6292295266
313	0.6292199468
314	0.6292053611
315	0.6291941067
316	0.6291715621
317	0.629163386
318	0.6291426204
319	0.6291261173
320	0.6291072919
321	0.6290933778
322	0.6290801882
323	0.6290640607
324	0.6290450465
325	0.6290359513
326	0.6290169723
327	0.6289941255
328	0.6289758934
329	0.6289584605
330	0.6289421475
331	0.6289274016
332	0.628904193
333	0.6288929186
334	0.6288762292
335	0.6288632573
336	0.6288544168
337	0.6288285737
338	0.6288121064
339	0.6287961751
340	0.6287808572
341	0.6287668029
342	0.6287489122
343	0.6287316765
344	0.6287175292
345	0.6287061247
346	0.6286869996
347	0.6286754804
348	0.6286646362
349	0.6286537367
350	0.6286438238
351	0.6286270981
352	0.6286063859
353	0.628593874
354	0.628580259
355	0.628561584
356	0.6285465152
357	0.6285275221
358	0.6285171018
359	0.6285051911
360	0.628486474
361	0.6284688855
362	0.6284553361
363	0.6284467308
364	0.6284281412
365	0.6284141737
366	0.6283951231
367	0.6283829022
368	0.628371468
369	0.6283573242
370	0.6283465164
371	0.628334006
372	0.6283113689
373	0.6282968044
374	0.6282810651
375	0.6282701109
376	0.6282485439
377	0.6282379442
378	0.6282258276
379	0.6282059042
380	0.6281935857
381	0.6281745202
382	0.6281575406
383	0.6281417173
384	0.6281277095
385	0.6281165192
386	0.6280905003
387	0.62807227
388	0.6280540787
389	0.6280312218
390	0.6280189467
391	0.6280064615
392	0.6279888089
393	0.6279779745
394	0.6279685918
395	0.627953371
396	0.62793499
397	0.6279205786
398	0.6279102262
399	0.6278984956
400	0.6278918782
401	0.6278766447
402	0.6278636962
403	0.6278546082
404	0.6278384614
405	0.6278250613
406	0.6278153159
407	0.6278010297
408	0.6277838539
409	0.6277721737
410	0.6277529168
411	0.6277410498
412	0.6277289763
413	0.6277191675
414	0.62770709
415	0.6276973104
416	0.6276788691
417	0.627653583
418	0.6276336321
419	0.6276138459
420	0.6275869801
421	0.6275767184
422	0.6275688567
423	0.6275462704
424	0.6275372351
425	0.627530278
426	0.6275159639
427	0.6274967119
428	0.6274812018
429	0.6274700371
430	0.6274617053
431	0.6274476432
432	0.6274405096
433	0.6274223433
434	0.6274109282
435	0.6273937204
436	0.6273755243
437	0.6273629049
438	0.627342118
439	0.6273283592
440	0.6273148933
441	0.6272992509
442	0.6272844864
443	0.6272641575
444	0.6272475889
445	0.6272303676
446	0.6272168333
447	0.6272041026
448	0.6271891533
449	0.6271718946
450	0.6271597983
451	0.6271469327
452	0.6271346235
453	0.627125044
454	0.6271047301
455	0.6270945807
456	0.6270816764
457	0.6270630636
458	0.6270472526
459	0.6270334914
460	0.6270154744
461	0.6270068019
462	0.6269912938
463	0.6269772251
464	0.6269646229
465	0.6269408405
466	0.6269272156
467	0.6269127422
468	0.6268994483
469	0.6268815463
470	0.6268677983
471	0.6268496313
472	0.6268302436
473	0.6268198532
474	0.6268083687
475	0.6267931673
476	0.6267788202
477	0.6267669177
478	0.6267561237
479	0.6267404194
480	0.6267238901
481	0.6267060204
482	0.626686754
483	0.6266709392
484	0.6266557722
485	0.6266399771
486	0.6266247006
487	0.6266137565
488	0.6266040817
489	0.6265897319
490	0.626574468
491	0.6265575417
492	0.6265410091
493	0.6265242551
494	0.6265054736
495	0.6264899266
496	0.6264750072
497	0.626466008
498	0.6264509065
499	0.6264402747
500	0.6264283166
501	0.6264047779
502	0.6263931519
503	0.6263826297
504	0.6263640462
505	0.6263494177
506	0.6263336272
507	0.6263207459
508	0.6263041222
509	0.6262853344
510	0.6262773129
511	0.6262659042
512	0.6262462079
513	0.6262324366
514	0.6262210175
515	0.626204495
516	0.6261895958
517	0.6261728226
518	0.6261591425
519	0.6261419969
520	0.6261341918
521	0.6261149709
522	0.6261060674
523	0.6260932725
524	0.62607731
525	0.6260640536
526	0.6260554267
527	0.6260400591
528	0.6260136158
529	0.6259968456
530	0.6259849328
531	0.6259725611
532	0.6259572841
533	0.6259442555
534	0.6259275048
535	0.6259189448
536	0.6259076826
537	0.6258877667
538	0.6258817801
539	0.6258650515
540	0.6258520949
541	0.6258297989
542	0.6258147408
543	0.6258029172
544	0.6257924244
545	0.6257857086
546	0.6257719148
547	0.6257624026
548	0.6257498293
549	0.6257331305
550	0.6257176388
551	0.6256955702
552	0.62568145
553	0.6256735011
554	0.625663384
555	0.625640288
556	0.6256194529
557	0.6256029686
558	0.6255810436
559	0.6255727975
560	0.625559865
561	0.625542872
562	0.6255267783
563	0.6255177423
564	0.6254988603
565	0.6254808449
566	0.6254642738
567	0.625452034
568	0.625434396
569	0.62542496
570	0.6254109622
571	0.6253979284
572	0.6253844886
573	0.6253728093
574	0.6253596496
575	0.6253390437
576	0.625324395
577	0.6253074237
578	0.6252956461
579	0.6252789759
580	0.6252647623
581	0.6252528211
582	0.6252384962
583	0.6252234837
584	0.6252084982
585	0.6251897346
586	0.6251769923
587	0.6251531117
588	0.6251338782
589	0.6251152989
590	0.6251025974
591	0.6250930531
592	0.6250783451
593	0.6250654196
594	0.625046778
595	0.625037901
596	0.625020533
597	0.6250003375
598	0.6249882526
599	0.6249720097
600	0.6249556185
601	0.6249442264
602	0.6249278339
603	0.6249137746
604	0.6249001855
605	0.6248916179
606	0.6248801614
607	0.6248637205
608	0.6248472436
609	0.6248357807
610	0.6248157755
611	0.6248045229
612	0.6247912474
613	0.6247797675
614	0.6247630052
615	0.6247464252
616	0.6247320325
617	0.6247240907
618	0.6247106536
619	0.624699705
