iter	Passed	Remaining
0	117	117245
1	171	85337
2	247	82162
3	301	75097
4	357	71072
5	407	67454
6	472	67023
7	538	66756
8	591	65083
9	649	64271
10	720	64813
11	777	63979
12	835	63403
13	887	62522
14	952	62545
15	1013	62347
16	1066	61662
17	1116	60933
18	1175	60689
19	1238	60704
20	1291	60190
21	1349	59988
22	1416	60154
23	1478	60110
24	1535	59885
25	1589	59547
26	1655	59656
27	1712	59445
28	1766	59142
29	1823	58957
30	1888	59029
31	1947	58908
32	2013	59009
33	2071	58862
34	2140	59011
35	2195	58801
36	2253	58655
37	2306	58390
38	2377	58577
39	2429	58314
40	2486	58160
41	2536	57867
42	2602	57925
43	2656	57717
44	2713	57594
45	2763	57320
46	2835	57503
47	2895	57435
48	2952	57301
49	3009	57180
50	3079	57299
51	3138	57211
52	3195	57096
53	3245	56854
54	3307	56832
55	3366	56742
56	3424	56654
57	3475	56452
58	3548	56596
59	3613	56610
60	3676	56595
61	3751	56753
62	3832	57006
63	3914	57245
64	3990	57402
65	4087	57847
66	4162	57960
67	4248	58235
68	4333	58464
69	4399	58444
70	4459	58351
71	4531	58405
72	4616	58621
73	4691	58712
74	4764	58765
75	4859	59076
76	4928	59082
77	5005	59172
78	5074	59162
79	5143	59145
80	5202	59031
81	5261	58904
82	5327	58859
83	5381	58680
84	5432	58483
85	5492	58369
86	5560	58349
87	5619	58240
88	5677	58110
89	5736	58003
90	5806	57997
91	5865	57890
92	5919	57735
93	5991	57748
94	6059	57723
95	6122	57654
96	6200	57720
97	6275	57764
98	6348	57781
99	6425	57830
100	6521	58049
101	6633	58403
102	6720	58524
103	6803	58617
104	6857	58456
105	6910	58279
106	6965	58131
107	7049	58220
108	7107	58095
109	7160	57936
110	7217	57801
111	7285	57764
112	7370	57856
113	7442	57844
114	7514	57826
115	7576	57740
116	7640	57662
117	7697	57537
118	7764	57485
119	7821	57354
120	7872	57188
121	7928	57056
122	7991	56982
123	8051	56878
124	8117	56819
125	8191	56820
126	8265	56816
127	8328	56738
128	8390	56653
129	8453	56571
130	8525	56555
131	8594	56512
132	8662	56466
133	8727	56399
134	8799	56384
135	8865	56320
136	8927	56239
137	9003	56241
138	9064	56145
139	9139	56144
140	9246	56330
141	9310	56257
142	9367	56141
143	9431	56064
144	9503	56040
145	9567	55964
146	9627	55863
147	9698	55830
148	9776	55839
149	9840	55761
150	9899	55662
151	9964	55589
152	10040	55585
153	10105	55513
154	10164	55411
155	10227	55331
156	10304	55330
157	10371	55270
158	10434	55189
159	10500	55125
160	10568	55073
161	10634	55008
162	10690	54896
163	10745	54773
164	10814	54725
165	10869	54606
166	10931	54526
167	10984	54398
168	11058	54377
169	11130	54341
170	11201	54304
171	11270	54254
172	11343	54223
173	11402	54128
174	11458	54017
175	11523	53951
176	11585	53870
177	11644	53772
178	11700	53665
179	11767	53609
180	11821	53491
181	11875	53373
182	11929	53260
183	12009	53260
184	12100	53307
185	12163	53232
186	12247	53246
187	12309	53167
188	12371	53085
189	12428	52985
190	12500	52945
191	12580	52941
192	12647	52884
193	12707	52793
194	12771	52722
195	12852	52722
196	12915	52647
197	12982	52585
198	13052	52536
199	13123	52495
200	13200	52471
201	13264	52403
202	13318	52290
203	13384	52227
204	13446	52147
205	13501	52040
206	13557	51937
207	13620	51862
208	13689	51811
209	13748	51722
210	13799	51599
211	13862	51527
212	13916	51420
213	13972	51319
214	14028	51221
215	14106	51201
216	14213	51287
217	14282	51233
218	14361	51216
219	14434	51178
220	14498	51105
221	14599	51165
222	14679	51148
223	14761	51138
224	14844	51130
225	14908	51059
226	14978	51007
227	15041	50930
228	15105	50858
229	15163	50766
230	15254	50781
231	15338	50774
232	15403	50706
233	15463	50618
234	15524	50537
235	15589	50466
236	15649	50381
237	15711	50302
238	15772	50222
239	15840	50162
240	15902	50083
241	15971	50025
242	16026	49927
243	16090	49854
244	16147	49760
245	16207	49676
246	16259	49567
247	16320	49488
248	16373	49384
249	16426	49279
250	16482	49185
251	16547	49118
252	16614	49056
253	16683	48999
254	16755	48951
255	16829	48909
256	16895	48844
257	16954	48761
258	17026	48711
259	17109	48696
260	17206	48717
261	17275	48660
262	17337	48584
263	17397	48502
264	17455	48414
265	17519	48342
266	17587	48282
267	17663	48245
268	17732	48187
269	17793	48108
270	17861	48047
271	17939	48015
272	18008	47955
273	18076	47895
274	18138	47818
275	18210	47769
276	18272	47692
277	18329	47603
278	18388	47519
279	18462	47474
280	18524	47397
281	18583	47315
282	18648	47246
283	18718	47191
284	18778	47110
285	18837	47028
286	18896	46943
287	18961	46877
288	19018	46789
289	19116	46803
290	19203	46788
291	19276	46738
292	19337	46660
293	19393	46570
294	19461	46509
295	19514	46412
296	19566	46313
297	19635	46255
298	19713	46217
299	19775	46143
300	19833	46057
301	19892	45976
302	19959	45912
303	20017	45829
304	20075	45746
305	20134	45663
306	20201	45601
307	20261	45522
308	20320	45442
309	20382	45366
310	20449	45305
311	20513	45235
312	20577	45166
313	20637	45088
314	20711	45039
315	20777	44974
316	20849	44922
317	20914	44853
318	20984	44797
319	21034	44698
320	21088	44607
321	21144	44520
322	21211	44459
323	21275	44388
324	21333	44308
325	21389	44222
326	21460	44167
327	21549	44150
328	21606	44066
329	21661	43978
330	21724	43907
331	21793	43849
332	21862	43790
333	21925	43718
334	21997	43667
335	22064	43604
336	22126	43530
337	22192	43466
338	22259	43402
339	22323	43334
340	22386	43264
341	22448	43190
342	22512	43121
343	22567	43035
344	22627	42960
345	22693	42894
346	22771	42851
347	22837	42787
348	22901	42718
349	22970	42659
350	23041	42603
351	23113	42550
352	23188	42500
353	23264	42453
354	23328	42385
355	23394	42319
356	23468	42270
357	23544	42221
358	23611	42158
359	23682	42103
360	23755	42048
361	23814	41971
362	23875	41897
363	23938	41827
364	24003	41759
365	24065	41687
366	24128	41616
367	24204	41568
368	24266	41496
369	24338	41441
370	24404	41375
371	24484	41333
372	24588	41332
373	24667	41287
374	24744	41240
375	24816	41184
376	24888	41128
377	24955	41063
378	25022	40999
379	25113	40974
380	25180	40909
381	25251	40852
382	25318	40787
383	25386	40723
384	25442	40642
385	25504	40569
386	25584	40525
387	25653	40464
388	25724	40405
389	25784	40329
390	25844	40253
391	25898	40169
